ordem,album,ano,gravadora,tipo
1,Aniversario do Tatu,1991,Philips,Estudio
2,Sabado a Noite,1992,Philips,Estudio
3,To Ligado em Voce,1993,Philips,Estudio
4,Pra Dancar com Voce,1994,Philips,Estudio
5,Voce e D+,1995,PolyGram,Estudio
6,Dig-Dig-Joy,1996,PolyGram,Estudio
7,Sonho Azul,1997,PolyGram,Estudio
8,Era Uma Vez... AoVivo,1998,PolyGram,AoVivo
9,As Quatro Estacoes,1999,Universal,Estudio
10,Quatro Estacoes: O Show,2000,Universal,AoVivo
11,Todas as Estacoes,2000,Universal,Remix
12,Sandy & Junior,2001,Universal,Estudio
13,Internacional,2002,Universal,Estudio
14,AoVivo no Maracana,2002,Universal,AoVivo
15,Identidade,2003,Universal,Estudio
16,Sandy & Junior,2006,Universal,Estudio
17,Acustico MTV,2007,Universal,AoVivo
18,Nossa Historia: AoVivo em Sao Paulo,2020,Universal,AoVivo